Accession Id,Artist,Credit Line,Display Dimensions,Geometry,Location Description,Medium,Source,Title,Location
1986.22,"Lerner, Leslie",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"52 1/4"" H X 63 3/8"" W Framed","(-122.389979,37.615223)",Airport : T1 : Delta Connector,Acrylic and polymer on canvas,San Francisco Arts Commission,The Smile of Reason,
T2009.31,"Lieb, Reddy and Raynsford, Linda",,,"(-122.4596396,37.7243765)",Public Display : District 8 : Glen Park branch Library : 2825 Diamond St.,Glass,San Francisco Arts Commission,Six Degrees,"2825 Diamond St
"
T2009.41,"Lin, Maya",,,"(-122.4661846,37.7699161)",Museum : California Academy of Science,,San Francisco Arts Commission,What's Missing,
T2009.40,"Lin, Maya",,,"(-122.4835193,37.76904)",Museum : GGP : CA Academy of Sciences : West patio,Marine grade stainless steel,San Francisco Arts Commission,Where the Land Meets the Sea,
2008.5.a-c,"Liu, Hung",,,"(-122.389979,37.615223)",Airport : International Terminal : Gate A-5,oil and pigmented ink with gesso,San Francisco Arts Commission,Take Off,
1992.1,"Liu, Hung",Purchased by the San Francisco Art Commission for the Moscone Center,"10.125"" W X 30"" (sheet)","(-122.3940873,37.7816901)","Public Display : District 6 : Moscone Center, Esplanade","Mixed media: oil on canvas, acrylic on wall, glazed ceramic tiles",San Francisco Arts Commission,Map No. 33,
T2009.28,Living Lenses (Po Shu Wang & Loui,,,"(-122.4556651,37.7478586)",City Department : Laguna Honda Hospital : Courtyard J,Redwood,San Francisco Arts Commission,NEVERODDOREVEN,
1979.69.1,"Loarca, Carlos",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,72,"(-122.389979,37.615223)",Airport : T3 : Boarding Area E,Acrylic on board,San Francisco Arts Commission,Angulos en Todas Direciones,
1977.58,"Loarca, Carlos",Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,96 in. x 120 in.,"(-122.4044431,37.7557795)",City Department : SFGH : 3rd floor courtyard,Mosaic-tile mural,San Francisco Arts Commission,Connecting Mural Bands,
1979.69.2,"Loarca, Carlos",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"72""H X 48"" W","(-122.389979,37.615223)",Airport : T3 : Boarding Area E,Acrylic on board,San Francisco Arts Commission,Angulos en Todas Direciones,
1987.32,"Ludwig, Helen",Gift of the artist to the San Francisco Art Commission,,"(-122.4044431,37.7557795)","City Department : SFGH, Building 10, Ward 13",Oil,San Francisco Arts Commission,Untitled,
1989.29,"Ludwig, Helen",Commissioned by the San Francisco Arts Commission for the Department of Public Health.,,"(-122.4185344,37.7782753)",City Department : DPW : Recreation Center for the Handicapped : 101 Grove,Terrazzo paving,San Francisco Arts Commission,One Step at a Time,
2003.6,"MacDonald, Robert",,,"(-122.4184094,37.7793133)",Public Display : District 6 : City Hall,,San Francisco Arts Commission,Willie L Brown Bust,
1999.13,Mandel and Sultan,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,19 1/2' H X 19 1/2' W,"(-122.389979,37.615223)",Airport : IT : Boarding Area A : Gate A7,Mosaic tile,San Francisco Arts Commission,Waiting,
2001.17,"Mangrum, Joe",Commissioned by the Public Art Program for MUNI,636 in. x 60 in.,"(-122.4187616,37.7554415)",Public Display : District 9 : Mission and 22nd St. : NE and SW Corners,Glass,San Francisco Arts Commission,Layla,"Mission St
"
2001.18,"Mangrum, Joe",Commissioned by the Public Art Program for MUNI,,"(-122.4187616,37.7554415)",Public Display : District 9 : Mission and 22nd St. : NE and SW Corners,Glass,San Francisco Arts Commission,Swing Daddy,"Mission St
"
1995.17,"Manwaring, Michael",Commissioned by the San Francisco Art Commission for the North and South Embarcadero Project,,"(-122.3943387,37.7976769)",Public Display : District 3 : Embarcadero,Bronze plaques on sidewalk; concrete pylons with enamel-painted plaques,San Francisco Arts Commission,Historic Signage Project,
2008.2.a-b,"Margrill, Anita and Nagasawa, Nobuho","Collection of the City and County of San Francisco
Commissioned for the San Francisco Municipal Transportation Authority by the San Franciso Arts Commission",432 in. x 228 in.,"(-122.4194155,37.7749295)",Public Display : District 10 : Metro East Vehicles Operation and Maintenance Fac,Laminated glass,San Francisco Arts Commission,Blueprints,
1969.6,"Marie-Rose, Henri",Purchased by the San Francisco Art Commission for the Central Police Station and North Beach Garage,144 in.,"(-122.482221,37.7595959)",City Department : DPW : Health Center : Irving and 24th Ave.,Copper and Bronze,San Francisco Arts Commission,Sailor and Mermaid,"DPW : Health Center : Irving
"
1976.93,"Marie-Rose, Henri",Purchased by the San Francisco Art Commission for Firehouse #13,4' X 5',"(-122.4194155,37.7749295)",City Department : Firehouse #13,Copper,San Francisco Arts Commission,Untitled,
1966.22,"Marini, Marino",Purchased through a project of the Redevelopment Agency for the Golden Gateway Plaza ,,"(-122.4194155,37.7749295)",Public Display : District 3 : Golden Gateway Plaza,Bronze,San Francisco Arts Commission,Bronze Horse,
1996.6,Mark/Charlie Evans/Brown,,,"(-122.415783,37.778864)","City Department : SFPL, Main Branch",Oil,San Francisco Arts Commission,Into the Light,
1990.9,"Marsh, Thomas",Gift of the Goddess of Democracy Project,Sculpture: 10' H ; Base: 5',"(-122.4048688,37.7947175)","Public Display : District 3 : Portsmouth Square, upper level",Bronze,San Francisco Arts Commission,Goddess of Democracy,
1986.19,"Martin, Fran",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"87"" H X 18 1/4"" W X 14 1/2"" D","(-122.389979,37.615223)",Airport : T2 : Boarding Area C : Gate 44,"Concrete, marble, copper and brass with patina",San Francisco Arts Commission,Petanque et St-Savin IV,
1989.24,"Martin, Fran",Purchased by the San Francisco Art Commission for the Griffith Pump Station.,139 in. x 90 in. x 24 in.,"(-122.3819341,37.7250945)",City Department : DPW/PUC : Griffith Pump Station : 1601 Griffith St. ,"Steel, reinforced concrete, bronze and granite",San Francisco Arts Commission,Ndebele,"1601 Griffith St
"
1977.4,"Martin, Vance",Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"(-122.389979,37.615223)",Airport : Terminal 2 : North Arrivals Lounge,Enamel spray paint,San Francisco Arts Commission,Untitled,
1967.79,"Martinez, Julian","Gift to San Francisco from Luis Encina, the Governor of the State of Sonora, Mexico 1967.",88 in. x 142 in. x 70 in.,"(-122.4194155,37.7749295)","Public Display : District 7 : Sunset Circle parking Lot, Sunset and Lake Merced",Bronze ,San Francisco Arts Commission,Juan Bautista de Anza,
1997.1,"McDonnell, Mark",Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,,"(-122.4194155,37.7749295)",Public Display : District 7 : Fire Station #39 : North Facade,glass,San Francisco Arts Commission,Glass Rondella,
1997.1,"McDonnell, Mark",Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,"30"" diameter","(-122.2063083,37.4178457)",City Department : Firestation #39 : 1091 Portola,glass,San Francisco Arts Commission,Glass Rondella,
